epoch,accuracy,loss,val_accuracy,val_loss
0,0.860471248626709,0.3465735614299774,0.9068080186843872,0.2665584087371826
1,0.8919528126716614,0.27564799785614014,0.9108538031578064,0.24972045421600342
2,0.8960752487182617,0.2633042335510254,0.9133649468421936,0.24799935519695282
3,0.8980051875114441,0.25762107968330383,0.916015625,0.24281902611255646
4,0.8995491862297058,0.2548360824584961,0.9154576063156128,0.244225412607193
5,0.900043249130249,0.2511197626590729,0.9162946343421936,0.2484895884990692
6,0.9012784361839294,0.24901895225048065,0.9150390625,0.24183142185211182
7,0.9031157493591309,0.24571391940116882,0.9118303656578064,0.24228738248348236
8,0.9037333130836487,0.24639761447906494,0.9153180718421936,0.23965737223625183
9,0.9049530625343323,0.2433144450187683,0.912109375,0.2373592108488083
10,0.905493438243866,0.2422744333744049,0.9129464030265808,0.2400457113981247
11,0.9081799387931824,0.2387109398841858,0.9147600531578064,0.24557998776435852
12,0.9097856879234314,0.23500946164131165,0.9146205186843872,0.24068094789981842
13,0.9095695614814758,0.23502635955810547,0.9129464030265808,0.23665642738342285
14,0.9113914370536804,0.2324897199869156,0.9150390625,0.24090878665447235
15,0.9106040000915527,0.23169592022895813,0.9135044813156128,0.24572041630744934
16,0.9126420617103577,0.23225966095924377,0.9133649468421936,0.24712860584259033
17,0.913460373878479,0.22802448272705078,0.9129464030265808,0.24280056357383728
18,0.9153903126716614,0.22568167746067047,0.9140625,0.2449190318584442
